"",,,,,,,,,,,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,,,,,"ثالثة تك-مج 1
الكترونيات
محمد الشرقاوى
معمل 14)فيزياء
(1",,,,,,,"الفرقة الثالثة-
تكنولوجيا
هندسة
البرمجيات  1
د. وليد
العدروسي
مدرج (3)","ثالثة تك-مج
1
شبكات
الحاسب
محمود
عبدالسلم
معمل
11)شبكات(","الفرقة الثالثة-
تكنولوجيا
الكترونيات
د. نغم السيد
مدرج (4)","ثالثة تك-مج
1
قواعد بيانات
2
منار
الشهاوى
معمل 5)د(",,,"ثالثة تك-مج 1
أساليب
البحث العلمى
مصطفى
الجيار
مدرج (2)",,"ثالثة تك-مج 1
هندسة
البرمجيات  1
نيرة العزب, د.
وليد العدروسي
معمل 13
)الكترونيات (2","الفرقة الثالثة-
تكنولوجيا
أساليب البحث
العلمى
د. سماء صبرى
مدرج (3)","الفرقة الثالثة-
تكنولوجيا
قواعد بيانات  2
د. أميرة رزق
مدرج (1)"
"",,,,,,,,,,"ثالثة تك-مج 2
الكترونيات
محمد الشرقاوى
معمل 14)فيزياء
(1","الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,"ثالثة تك-مج 2
قواعد بيانات  2
منار الشهاوى
معمل 7)هـ(",,"ثالثة تك-مج 2
شبكات
الحاسب
محمود
عبدالسلم
معمل
11)شبكات(",,,,,,,,,"الفرقة الثالثة-
تكنولوجيا
هندسة
البرمجيات  1
د. وليد
العدروسي
مدرج (3)","ثالثة تك-مج
2
هندسة
البرمجيات  1
نيرة العزب,
د. وليد
العدروسي
معمل 13
)الكترونيات 2
(","الفرقة الثالثة-
تكنولوجيا
الكترونيات
د. نغم السيد
مدرج (4)",,,,,"ثالثة تك-مج
2
أساليب
البحث
العلمى
مصطفى
الجيار
مدرج (3)",,"الفرقة الثالثة-
تكنولوجيا
أساليب البحث
العلمى
د. سماء صبرى
مدرج (3)","الفرقة الثالثة-
تكنولوجيا
قواعد بيانات  2
د. أميرة رزق
مدرج (1)"
"",,,,,"ثالثة تك-مج
3
شبكات
الحاسب
محمود
عبدالسلم
معمل
11)شبكات
(","ثالثة تك-مج
3
أساليب
البحث
العلمى
مصطفى
الجيار
مدرج (4)",,,,,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,,,,,,,,"ثالثة تك-مج 3
قواعد بيانات  2
منار الشهاوى
معمل 8)و(",,,,"الفرقة الثالثة-
تكنولوجيا
هندسة
البرمجيات  1
د. وليد
العدروسي
مدرج (3)","ثالثة تك-مج
3
الكترونيات
محمد
الشرقاوى
معمل
14)فيزياء (1","الفرقة الثالثة-
تكنولوجيا
الكترونيات
د. نغم السيد
مدرج (4)",,,,,"ثالثة تك-مج
3
هندسة
البرمجيات  1
نيرة العزب,
د. وليد
العدروسي
معمل 13
)الكترونيات 2
(",,"الفرقة الثالثة-
تكنولوجيا
أساليب البحث
العلمى
د. سماء صبرى
مدرج (3)","الفرقة الثالثة-
تكنولوجيا
قواعد بيانات  2
د. أميرة رزق
مدرج (1)"
"",,"ثالثة تك-مج 4
شبكات الحاسب
محمود عبدالسلم
معمل 11)شبكات(",,"ثالثة تك-مج 4
أساليب البحث
العلمى
مصطفى الجيار
معمل -3وسائط
متعددة",,,,,,"ثالثة تك-مج 4
قواعد بيانات  2
منار الشهاوى
معمل 9)و(","الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)","ثالثة تك-مج 4
الكترونيات
محمد الشرقاوى
معمل 14)فيزياء
(1",,,,,,,,"ثالثة تك-مج 4
هندسة
البرمجيات  1
نيرة العزب, د.
وليد العدروسي
معمل 13
)الكترونيات (2",,,,"الفرقة الثالثة-
تكنولوجيا
هندسة
البرمجيات  1
د. وليد
العدروسي
مدرج (3)",,"الفرقة الثالثة-
تكنولوجيا
الكترونيات
د. نغم السيد
مدرج (4)",,,,,,,"الفرقة الثالثة-
تكنولوجيا
أساليب البحث
العلمى
د. سماء صبرى
مدرج (3)","الفرقة الثالثة-
تكنولوجيا
قواعد بيانات  2
د. أميرة رزق
مدرج (1)"
