"",,,"ثالثةع-مج 1
هندسة
البرمجيات  1
داليا علوي
معمل 13
)الكترونيات (2","ثالثةع-مج 1
شبكات الحاسب
محمد عزام
معمل
11)شبكات(","الفرقة
الثالثة-علوم
حاسب
تحليل
وتصميم
الخوارزميات
د. سمير
الموجى
مدرج (3)",,,,"ثالثةع-مج 1
تحليل
وتصميم
الخوارزميات
داليا علوي
معمل
11)شبكات(",,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)","ثالثةع-مج 1
البرمجة
المنطقية
أحمد طاهر
معمل 8)و(",,,,,,,"الفرقة
الثالثة-علوم
حاسب
هندسة
البرمجيات  1
د. أميمة نمير
مدرج (1)",,,,,,"الفرقة
الثالثة-علوم
حاسب
البرمجة
المنطقية
د. طاهر
حمزة, د.
إسلم فؤاد
مدرج (1)","ثالثةع-مج 1
لغة التجميع
محمد حجاج
معمل 4)ج(","الفرقة
الثالثة-علوم
حاسب
لغة التجميع
د. أمل
ابراهيم
مدرج (4)",,,,,,,
"",,,,"ثالثةع-مج 2
تحليل وتصميم
الخوارزميات
داليا علوي
معمل 5)د(","الفرقة
الثالثة-علوم
حاسب
تحليل
وتصميم
الخوارزميات
د. سمير
الموجى
مدرج (3)",,,,,,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,"ثالثةع-مج 2
هندسة
البرمجيات  1
داليا علوي
معمل 13
)الكترونيات (2",,,,"ثالثةع-مج 2
البرمجة
المنطقية
أحمد طاهر
معمل 8)و(",,"الفرقة
الثالثة-علوم
حاسب
هندسة
البرمجيات  1
د. أميمة نمير
مدرج (1)",,,,,,"الفرقة
الثالثة-علوم
حاسب
البرمجة
المنطقية
د. طاهر
حمزة, د.
إسلم فؤاد
مدرج (1)","ثالثةع-مج 2
شبكات الحاسب
محمد عزام
معمل
11)شبكات(","الفرقة
الثالثة-علوم
حاسب
لغة التجميع
د. أمل
ابراهيم
مدرج (4)",,,,,,,"ثالثةع-مج 2
لغة التجميع
محمد حجاج
معمل 4)ج("
"",,,,,"الفرقة
الثالثة-علوم
حاسب
تحليل
وتصميم
الخوارزميات
د. سمير
الموجى
مدرج (3)","ثالثةع-مج 3
شبكات
الحاسب
محمد عزام
معمل
11)شبكات(",,,,,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)","ثالثةع-مج 3
هندسة
البرمجيات  1
داليا علوي
معمل 13
)الكترونيات (2","ثالثةع-مج 3
البرمجة
المنطقية
أحمد طاهر
معمل 10)ز(",,,,,,"الفرقة
الثالثة-علوم
حاسب
هندسة
البرمجيات  1
د. أميمة نمير
مدرج (1)","ثالثةع-مج 3
لغة التجميع
محمد حجاج
معمل -3وسائط
متعددة",,,,,"الفرقة
الثالثة-علوم
حاسب
البرمجة
المنطقية
د. طاهر
حمزة, د.
إسلم فؤاد
مدرج (1)",,"الفرقة
الثالثة-علوم
حاسب
لغة التجميع
د. أمل
ابراهيم
مدرج (4)",,,,,"ثالثةع-مج 3
تحليل وتصميم
الخوارزميات
داليا علوي
معمل 5)د(",,
"",,,,,"الفرقة
الثالثة-علوم
حاسب
تحليل
وتصميم
الخوارزميات
د. سمير
الموجى
مدرج (3)","ثالثةع-مج 4
هندسة
البرمجيات  1
داليا علوي
معمل 13
)الكترونيات
(2",,,,"ثالثةع-مج 4
تحليل وتصميم
الخوارزميات
داليا علوي
معمل 5)د(","الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,"ثالثةع-مج 4
شبكات الحاسب
محمد عزام
معمل
11)شبكات(",,,,"ثالثةع-مج 4
لغة التجميع
محمد حجاج
معمل 4)ج(",,"الفرقة
الثالثة-علوم
حاسب
هندسة
البرمجيات  1
د. أميمة نمير
مدرج (1)",,,,,,"الفرقة
الثالثة-علوم
حاسب
البرمجة
المنطقية
د. طاهر
حمزة, د.
إسلم فؤاد
مدرج (1)",,"الفرقة
الثالثة-علوم
حاسب
لغة التجميع
د. أمل
ابراهيم
مدرج (4)",,,,"ثالثةع-مج 4
البرمجة
المنطقية
أحمد طاهر
معمل 10)ز(",,,
"",,,"ثالثةع-مج 5
شبكات
الحاسب
محمد عزام
معمل
11)شبكات(",,"الفرقة
الثالثة-علوم
حاسب
تحليل
وتصميم
الخوارزميات
د. سمير
الموجى
مدرج (3)",,,,,,"الفرقة الثالثة-
علوم حاسب,
الفرقة الثالثة-
تكنولوجيا
شبكات
الحاسب
أ.د. أحمد
عطوان
مدرج (1)",,,,,,,"ثالثةع-مج 5
لغة التجميع
محمد حجاج
معمل -3وسائط
متعددة","الفرقة
الثالثة-علوم
حاسب
هندسة
البرمجيات  1
د. أميمة نمير
مدرج (1)",,,,,,"الفرقة
الثالثة-علوم
حاسب
البرمجة
المنطقية
د. طاهر
حمزة, د.
إسلم فؤاد
مدرج (1)",,"الفرقة
الثالثة-علوم
حاسب
لغة التجميع
د. أمل
ابراهيم
مدرج (4)",,,"ثالثةع-مج 5
هندسة
البرمجيات  1
داليا علوي
معمل 13
)الكترونيات (2","ثالثةع-مج 5
تحليل
وتصميم
الخوارزميات
داليا علوي
معمل
11)شبكات(","ثالثةع-مج 5
البرمجة
المنطقية
أحمد طاهر
معمل 10)ز(",,
